symbol,budgetQuote,scenario,name,fromAt,toAt,preBenchmarkCashWaitMs,netPnlQuote,alphaQuote,feesQuote,totalGasWithExitQuote,entries,recenters,partialFailures,outsideMs,holdingMs,fullWindowMs,drawdownPpm,maximumLiquidityToExistingPpm,sourceGapMs,invalid
AAPL,1000000000,partial_mint_failure,fixed_160,1785915808000,1789154997000,719008000,212027779,177623365,292307879,5514919,5,16,4,1288000,3234334000,3958197000,20531,280278,9277000,
AAPL,1000000000,partial_mint_failure,adaptive_width,1785915808000,1789154997000,719008000,416784579,382380165,726240117,49467180,38,152,37,13484000,3182450000,3958197000,24845,1115364,9277000,
AAPL,1000000000,partial_mint_failure,adaptive_economic,1785915808000,1789154997000,719008000,230399792,195995378,332647250,8574393,7,26,6,2563322000,3225739000,3958197000,19719,611844,9277000,
AAPL,250000000,pinned_fork_costs,fixed_20,1785915808000,1789154997000,719008000,201513330,192899515,687181831,192566091,1,854,0,103691000,3238787000,3958197000,249084,487823,9277000,
AAPL,250000000,pinned_fork_costs,fixed_40,1785915808000,1789154997000,719008000,183293605,174679790,357803303,55005551,1,243,0,25529000,3238787000,3958197000,36210,236407,9277000,
AAPL,250000000,pinned_fork_costs,fixed_80,1785915808000,1789154997000,719008000,98327958,89714143,160309606,17182031,1,75,0,7322000,3238787000,3958197000,29164,148044,9277000,
AAPL,250000000,pinned_fork_costs,fixed_160,1785915808000,1789154997000,719008000,53081940,44468125,77217132,5024471,1,21,0,1308000,3239157000,3958197000,25583,70914,9277000,
AAPL,250000000,pinned_fork_costs,adaptive_width,1785915808000,1789154997000,719008000,143087828,134474013,321072862,69864791,1,309,0,20084000,3238787000,3958197000,33844,361227,9277000,
AAPL,250000000,pinned_fork_costs,adaptive_economic,1785915808000,1789154997000,719008000,44979708,36365893,60997612,2322791,1,9,0,1680594000,3238787000,3958197000,39762,67680,9277000,
AAPL,250000000,double_gas_half_fees,fixed_20,1785915808000,1789154997000,719008000,-250283314,-258793533,116654271,246445942,1,546,0,87039000,3238787000,3958197000,1000666,340401,981099000,capital_exhausted
AAPL,250000000,double_gas_half_fees,fixed_40,1785915808000,1789154997000,719008000,-61717365,-70227584,138796420,110011102,1,243,0,25529000,3238787000,3958197000,250633,189573,9277000,
AAPL,250000000,double_gas_half_fees,fixed_80,1785915808000,1789154997000,719008000,-3013825,-11524044,70421641,34364062,1,75,0,7322000,3238787000,3958197000,93562,131333,9277000,
AAPL,250000000,double_gas_half_fees,fixed_160,1785915808000,1789154997000,719008000,9043282,533063,36268450,10048942,1,21,0,1308000,3239157000,3958197000,37360,66616,9277000,
AAPL,250000000,double_gas_half_fees,adaptive_width,1785915808000,1789154997000,719008000,-12608591,-21118810,54223194,36615462,1,80,0,5743000,3238787000,3958197000,87479,154266,9277000,
AAPL,250000000,double_gas_half_fees,adaptive_economic,1785915808000,1789154997000,719008000,14475319,5965100,14112682,593062,1,0,0,1776371000,3238787000,3958197000,28878,38594,9277000,
AAPL,250000000,partial_mint_failure,fixed_20,1785915808000,1789154997000,719008000,148941325,140327510,500601138,157523591,121,483,120,75798000,2884516000,3958197000,120799,500136,9277000,
AAPL,250000000,partial_mint_failure,fixed_40,1785915808000,1789154997000,719008000,157389280,148775465,308813938,55089605,43,168,42,24897000,3142668000,3958197000,47132,326165,9277000,
AAPL,250000000,partial_mint_failure,fixed_80,1785915808000,1789154997000,719008000,87408752,78794937,153877392,20090626,16,61,15,9307000,3216080000,3958197000,29501,103916,9277000,
AAPL,250000000,partial_mint_failure,fixed_160,1785915808000,1789154997000,719008000,52844631,44230816,76423889,5514919,5,16,4,1288000,3234334000,3958197000,21217,70792,9277000,
AAPL,250000000,partial_mint_failure,adaptive_width,1785915808000,1789154997000,719008000,98456841,89843026,229006650,57294762,44,176,43,14235000,3170964000,3958197000,33255,321562,9277000,
AAPL,250000000,partial_mint_failure,adaptive_economic,1785915808000,1789154997000,719008000,48408244,39794429,60001771,1601128,2,4,1,1668065000,3233317000,3958197000,40012,67680,9277000,
GOOGL,5000000000,pinned_fork_costs,fixed_20,1785842666000,1789154999000,645866000,-1980760,178047469,3157443826,138171591,1,623,0,611467000,3206683000,3958199000,286375,3250860586,375843000,
