symbol,budgetQuote,scenario,name,key,fromAt,toAt,navChangeQuote,holdChangeQuote,alphaQuote,feesQuote,gasQuote,actions,marks,holdingMs,outsideMs
AAPL,5000000000,pinned_fork_costs,adaptive_economic,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,pinned_fork_costs,adaptive_economic,2026-08-03,1785715200000,1786319868000,4600867,2891775,1709092,8402166,178897,1,7242,48545000,0
AAPL,5000000000,pinned_fork_costs,adaptive_economic,2026-08-10,1786320003000,1786924791000,-87075725,-52884367,-34191358,6038557,0,0,13787,604923000,566021000
AAPL,5000000000,pinned_fork_costs,adaptive_economic,2026-08-17,1786924842000,1787529440000,122407586,35578747,86828839,51845127,0,0,12875,604649000,382496000
AAPL,5000000000,pinned_fork_costs,adaptive_economic,2026-08-24,1787529654000,1788134317000,170609058,86096092,84512966,175724448,225140,1,42448,604877000,384977000
AAPL,5000000000,pinned_fork_costs,adaptive_economic,2026-08-31,1788134406000,1788739197000,103697,2999133,-2895436,0,0,0,88790,604880000,604880000
AAPL,5000000000,pinned_fork_costs,adaptive_economic,2026-09-07,1788739208000,1789154997000,96224315,88152624,8071691,174568844,3044454,13,78719,415800000,364086000
AAPL,5000000000,double_gas_half_fees,fixed_20,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,double_gas_half_fees,fixed_20,2026-08-03,1785715200000,1786319868000,-669302288,2839014,-672141302,64797612,55742234,124,7242,403658000,21588000
AAPL,5000000000,double_gas_half_fees,fixed_20,2026-08-10,1786320003000,1786924791000,-430802820,-52884367,-377918453,103417077,40975480,91,13787,604923000,16885000
AAPL,5000000000,double_gas_half_fees,fixed_20,2026-08-17,1786924842000,1787529440000,-517310650,35578747,-552889397,87153222,62588920,139,12875,604649000,27920000
AAPL,5000000000,double_gas_half_fees,fixed_20,2026-08-24,1787529654000,1788134317000,-178912372,86096092,-265008464,464656218,82851520,184,42448,604877000,19797000
AAPL,5000000000,double_gas_half_fees,fixed_20,2026-08-31,1788134406000,1788739197000,15625429,2999133,12626296,591467756,71144240,158,88790,604880000,8622000
AAPL,5000000000,double_gas_half_fees,fixed_20,2026-09-07,1788739208000,1789154997000,-100724585,88101789,-188826374,460027793,71829788,159,78719,415800000,8879000
AAPL,5000000000,double_gas_half_fees,fixed_40,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,double_gas_half_fees,fixed_40,2026-08-03,1785715200000,1786319868000,-210186797,2839014,-213025811,68242133,12065074,27,7242,403658000,4491000
AAPL,5000000000,double_gas_half_fees,fixed_40,2026-08-10,1786320003000,1786924791000,-161290328,-52884367,-108405961,94366922,8555320,19,13787,604923000,4796000
AAPL,5000000000,double_gas_half_fees,fixed_40,2026-08-17,1786924842000,1787529440000,-255134496,35578747,-290713243,85143523,18461480,41,12875,604649000,5649000
AAPL,5000000000,double_gas_half_fees,fixed_40,2026-08-24,1787529654000,1788134317000,37283175,86096092,-48812917,387453533,25665960,57,42448,604877000,5547000
AAPL,5000000000,double_gas_half_fees,fixed_40,2026-08-31,1788134406000,1788739197000,130925325,2999133,127926192,468720194,20712880,46,88790,604880000,2150000
AAPL,5000000000,double_gas_half_fees,fixed_40,2026-09-07,1788739208000,1789154997000,11848210,88101789,-76253579,361525764,24550388,54,78719,415800000,2896000
AAPL,5000000000,double_gas_half_fees,fixed_80,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,double_gas_half_fees,fixed_80,2026-08-03,1785715200000,1786319868000,-140732911,2839014,-143571925,51366382,5310874,12,7242,403658000,2616000
AAPL,5000000000,double_gas_half_fees,fixed_80,2026-08-10,1786320003000,1786924791000,-101204715,-52884367,-48320348,72674839,3602240,8,13787,604923000,2233000
AAPL,5000000000,double_gas_half_fees,fixed_80,2026-08-17,1786924842000,1787529440000,-97839736,35578747,-133418483,66428668,5403360,12,12875,604649000,1580000
AAPL,5000000000,double_gas_half_fees,fixed_80,2026-08-24,1787529654000,1788134317000,196163568,86096092,110067476,260056477,5403360,12,42448,604877000,841000
AAPL,5000000000,double_gas_half_fees,fixed_80,2026-08-31,1788134406000,1788739197000,110412285,2999133,107413152,290183562,5853640,13,88790,604880000,489000
AAPL,5000000000,double_gas_half_fees,fixed_80,2026-09-07,1788739208000,1789154997000,126582619,88101789,38480830,216693390,6088908,13,78719,415800000,691000
AAPL,5000000000,double_gas_half_fees,fixed_160,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
