symbol,pool,fee,spacing,capacityPass,replayCompatible,referenceEligible,reasons,referenceReasons,buyShortfallPpm,sellShortfallPpm,testedHalfWidths
XNDU,0x69174bfcfacadfb056982c88c351549ef6308213,10000,200,False,False,,zero_active_liquidity,,,,
SHY,0x6a67f96a4635cf95e9877579db5566acb9d47816,3000,60,False,False,,zero_active_liquidity,,,,
XOM,0x6af79a2c154e7eea9c87b38617d5f0b598b690fb,10000,200,False,False,,,,997961,994988,200;200
SGOV,0x6ba50150b17ffd0972915aaf04ffd5e8f4fa49b4,500,10,True,True,False,,oracle_feed_missing;paper_equity_oracle_missing,500,500,80;160
RIVN,0x6e3dfc2fbfc48cc10f28025472256e64ae2c5991,100,1,False,False,,zero_active_liquidity,,,,
KLAC,0x6e592cc49f3484155b0da443fb9b7f0c300f9dc2,10000,200,False,False,,zero_active_liquidity,,,,
USO,0x6ed11c7dfd8e2ca5620eed29a7b9b53ae90dd0d2,10000,200,False,False,,,,10305,10305,200;200
ABCL,0x6ed779291769df8c1a3556f86f859192622505ff,10000,200,False,False,,zero_active_liquidity,,,,
MU,0x6fd0f36320a1e50e42f130ce4a5c530b992a0a14,500,10,False,True,,,,56486,999996,80;160
META,0x6fd62e9843ad2ac2c4fbf2b62647953ea29b3537,10000,200,False,False,,,,24397,23138,200;200
RDW,0x71e15c0ed50142c772bee6195c936f04e4696f5d,10000,200,False,False,,zero_active_liquidity,,,,
SPMO,0x727c8a9e0da8bb21be322d2bb5d891b126143b8c,10000,200,False,False,,zero_active_liquidity,,,,
FIX,0x745104601f86be0b2392c916442a922f2923fa6c,10000,200,False,False,,,,996632,995168,200;200
OKLO,0x754799c74d8941ad42084ed3951f996f401de4a2,10000,200,False,False,,zero_active_liquidity,,,,
FLY,0x76e92f3a0f088aafc1b81d37bdffc24b939c53fd,3000,60,False,False,,,,29568,882012,120;180
AAPL,0x783c9bbb765047cfdd2b84b92b2ca9f11d34b7ed,3000,60,True,False,True,,,3051,3051,120;180
TSLA,0x7868622ff2c3b1b6c8acb15fe0bdaebf043dda48,100,1,False,False,,zero_active_liquidity,,,,
GLD,0x7a6a053eccf1446a2633e05aa6d40d09381997ec,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3000,3000,120;180
AMZN,0x7b242dfa849419242e3733308d5c91fe2a7dae7e,100,1,False,False,,zero_active_liquidity,,,,
CCL,0x7b87ec8bc343dbf930d4f87b1ef1388787bf9d35,3000,60,False,False,,,,8392,626904,120;180
APP,0x7caec5689e7daf976469769e45001e99314eaac8,10000,200,False,False,,zero_active_liquidity,,,,
JNJ,0x7f0ace18d1dced47063cf26e649bc8ab14d09e67,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3035,3035,120;180
AEIS,0x803c27544ea2f41df24c08aff45451e0b17b45ed,10000,200,False,False,,zero_active_liquidity,,,,
CVNA,0x808824415812648f537c2306fb67ed65d8d25f87,10000,200,False,False,,zero_active_liquidity,,,,
AMBA,0x814e6f0ab0505457f661063bda756266181fd7bb,10000,200,False,False,,zero_active_liquidity,,,,
NNE,0x8368991bf7f5380cecd4a6f4fc4ea151d62343bc,10000,200,False,False,,zero_active_liquidity,,,,
PLTR,0x851680416a4f4e1c463d45171d61acddbc8554c0,3000,60,True,False,True,,,3051,3051,120;180
SHY,0x8517c791b522b6a4c20bd1021ff1f6a442dacba6,10000,200,False,False,,zero_active_liquidity,,,,
PATH,0x85e93fa4a14b266643b8c9bace0312425815e72e,10000,200,False,False,,,,994138,999998,200;200
IBRX,0x86509c1cc350a928fa6472d72a6915c31e8340f0,10000,200,False,False,,zero_active_liquidity,,,,
SPCX,0x87c58b43537005189cfc7b512d818dc9125e94fc,100,1,False,False,,,,840582,483832,80;160
ZM,0x89ef54007b030a07b12f7cda9fe98cb278cd7e6d,10000,200,False,False,,zero_active_liquidity,,,,
IBM,0x8a9e0978e84ed7786e4251914ffff2f922ab351f,500,10,False,True,,zero_active_liquidity,,,,
AMZN,0x8ac92da74ab5f3b1d024dc1943ad7e15dc4179ef,3000,60,True,False,True,,,3003,3003,120;180
SLV,0x8cb787e6c315d464775289bad00fdd67d53ecb3d,3000,60,True,False,True,,,3014,3014,120;180
AUR,0x8cd2c46b8c52e3d143446e959ecf01396feb667a,10000,200,False,False,,zero_active_liquidity,,,,
IBM,0x8cd848ce18b829c5c769aff27164078bb52e0e97,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3022,3022,120;180
JNJ,0x8d39388ef11bb78843130bd74ab0e5d89fa76b30,10000,200,False,False,,,,10348,10348,200;200
CRCL,0x9324a34abd68e46cd0f62a561a7bb10a2b1fa477,10000,200,False,False,,zero_active_liquidity,,,,
CTSH,0x95a8f85c70805bf74d93caa69c60db4475977c5b,10000,200,False,False,,zero_active_liquidity,,,,
MOD,0x962403f3e10d89c3f7f5140f0cf6fcb466de91a1,10000,200,False,False,,zero_active_liquidity,,,,
SLS,0x98e95b56f8b6601bc1d25bc2eb568ed0ff64279d,10000,200,False,False,,zero_active_liquidity,,,,
FISV,0x9bba88a4e122576f74c0d88c1989b6c2d6447044,10000,200,False,False,,zero_active_liquidity,,,,
HPE,0x9bd9061794310d98b7b8f2abeb8056225bc73bee,10000,200,False,False,,,,996037,996046,200;200
DDOG,0x9ccf7423c06bd2ffdbdab31fbc8b95d9f163a06c,500,10,False,True,,zero_active_liquidity,,,,
CSCO,0x9d181080aaa2d6086ac56c36e1a903bbdd77e69a,10000,200,False,False,,zero_active_liquidity,,,,
QBTS,0x9eb22ad27148cb90423422ec8a4a2ecf267e96bf,10000,200,False,False,,,,30186,406047,200;200
BABA,0x9eda4bcb3ebfede532f3cae3864fc0cefff782aa,10000,200,False,False,,,,13885,13885,200;200
SMCI,0x9f0167da6d9738b57cba0833a541db77762fb7bb,10000,200,False,False,,zero_active_liquidity,,,,
CRCL,0xa01e08626792d78c65c495b581a50d2156dc860c,500,10,False,True,,zero_active_liquidity,,,,
DJT,0xa04bf3cd3f5cdb78ab5a3277e9eab7a765ba9a92,100,1,False,False,,zero_active_liquidity,,,,
IBM,0xa0a79bc62fc822f3bcdf0ebbc586031781c53a5b,10000,200,False,False,,,,10101,10101,200;200
DELL,0xa0f5ef20f49db62bb20e0f2b51257ca897a01a5f,3000,60,False,False,,zero_active_liquidity,,,,
POET,0xa1c781ed62ac2d0283f50ff5a843647a56ddd80a,10000,200,False,False,,,,10376,10376,200;200
SNDK,0xa1e1c9519cd5ae47e9a935645e1a7b935b944559,10000,200,False,False,,,,10190,10190,200;200
AMAT,0xa255bafb65f9c79047ec74814e456e53713c8cb3,10000,200,False,False,,,,994367,999469,200;200
PFE,0xa26df7296ef5dfc727f3bc6f1e9050e6b62e6abf,10000,200,False,False,,,,12908,13288,200;200
POWL,0xa348700ed212c25d1b3feabde288746154440251,10000,200,False,False,,zero_active_liquidity,,,,
MRNA,0xa34d0667334074df2d5bfd259e79e6b9cf1fa8bf,10000,200,False,False,,,,10113,10113,200;200
GOOGL,0xa3617bb4d7dc9dd20f79165486097a54b3593164,100,1,False,False,,zero_active_liquidity,,,,
SPY,0xa43b424bc609495aed4bcd88d654934b510b0ad9,3000,60,True,False,False,,paper_equity_reference_age_unacceptable,3196,3196,120;180
BABA,0xa57ab582b310dd6f9e934ea1eeea152741545e6a,3000,60,True,False,True,,,3028,3028,120;180
NVTS,0xa6db97fb3e2dcb5de6ec43b04be6aa151905dc17,10000,200,False,False,,zero_active_liquidity,,,,
SPY,0xa7bb1ac63bbab0c44316e6c8c455213441689167,500,10,True,True,False,,paper_equity_reference_age_unacceptable,508,508,80;160
SIMO,0xa84fe55a03bb51eb640f8b624fe47b2777358d15,10000,200,False,False,,zero_active_liquidity,,,,
RDDT,0xa8744e76aed23b05f0126335e7bd38f7935d19fe,10000,200,False,False,,,,10004,10004,200;200
CBRS,0xa887c160493c80b8cf2a847a0da103e8aa5fe8f9,10000,200,False,False,,zero_active_liquidity,,,,
RKLB,0xa9888de1b9d64a93eaeb495a39fe9b3d00654928,10000,200,False,False,,,,995998,996127,200;200
NET,0xa9caebb1b2fb2b954f192572b309aef1caf6a330,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3049,3049,120;180
AMC,0xaa34fea710a1a737840329051d81d3b0b7c564d5,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3005,3005,120;180
AAPL,0xaae0d815ee56e4092a5e5c2911e676fea50b2d6d,500,10,True,True,True,,,505,505,80;160
META,0xad6df50832884f3498cd354086cefb0e39070f1b,100,1,False,False,,zero_active_liquidity,,,,
JOBY,0xade500b7d85db5048c6a1fb643c4e7be6c72147f,10000,200,False,False,,zero_active_liquidity,,,,
KSS,0xadf6351c8210a1c0d64d35ee9e2274b1cadf9b3c,10000,200,False,False,,zero_active_liquidity,,,,
CLS,0xaea7d4e856a1fc2bd23c7ea26a3433464de0428f,10000,200,False,False,,,,996421,996374,200;200
VRT,0xb15e0e29161917d36bbbc496ae482dce2c77c875,10000,200,False,False,,,,996660,996026,200;200
CCL,0xb19ace635ef3a28b85bfb01bae97d0de80750680,10000,200,False,False,,,,10711,10711,200;200
BE,0xb28ae7eaa50a7eb468d6aa516c85b1bb56b3b085,10000,200,False,False,,zero_active_liquidity,,,,
GOOGL,0xb2bb17fa1905bcc1558b5aaec894faab666b323a,10000,200,False,False,,zero_active_liquidity,,,,
RIVN,0xb30a75b200d98a600a3766869344928e35823e23,10000,200,False,False,,,,10073,10073,200;200
SOUN,0xb30e0bc08287370ac89ab8e22e56ee2420532ac6,10000,200,False,False,,,,44078,998835,200;200
TSLA,0xb349fb08c2712f3a70bad40a4d006b68d67e888b,10000,200,False,False,,,,610910,21095,200;200
FUTU,0xb3e2fb8e10af6c9fdd7f2d31cea79927a9dbfcf6,10000,200,False,False,,zero_active_liquidity,,,,
MRNA,0xb40196272a6d2eb5edf6d93bc4dc39856ad95e0e,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3056,3056,120;180
AVAV,0xb4a1331504e4282746c30b89c7f6e6a73adcff88,10000,200,False,False,,zero_active_liquidity,,,,
ASTS,0xb4c19c79b22310b5fb70959c3490149638e7bd14,10000,200,False,False,,zero_active_liquidity,,,,
SKHY,0xb504030b2d88183bf292b13378251abaabed5168,500,10,False,True,,zero_active_liquidity,,,,
RGTI,0xb549d4eaf467277e48aa350f216e413df8c8ba12,10000,200,False,False,,zero_active_liquidity,,,,
MRVL,0xb5e892f0fc6daadda5b927266fe7907e623e4843,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3449,3449,120;180
NU,0xb6d047637151f6de1d02028acdd187aa9cb7afe3,10000,200,False,False,,,,10075,10075,200;200
NVDA,0xb75d2d02b0ec3de50d32e40a4f1a8dae8acc4333,100,1,False,False,,zero_active_liquidity,,,,
GME,0xb7723619e09e9317b3e538e7531ecbb910aec107,100,1,False,False,,zero_active_liquidity,,,,
VTI,0xb78dd1a97fa544c65d7d1f12453ecaaf1e05c36d,10000,200,False,False,,,,19429,262117,200;200
NVDA,0xb944cec30bd4175855215d767adc81f39e5f7e2b,3000,60,True,False,True,,,3237,3237,120;180
DDOG,0xb9a8b0a8a724f0813cef2c9bfef102087a33753e,10000,200,False,False,,,,996041,996041,200;200
VST,0xba154b0c9f1e8242ba064ead09756567efbc7171,10000,200,False,False,,zero_active_liquidity,,,,
GLD,0xba2f1ed4ceb2169d538d1e614d847e83c5a55913,500,10,True,True,False,,oracle_feed_missing;paper_equity_oracle_missing,503,503,80;160
QUBT,0xbad5559f6b39a341cbf62d7dd7ffec6f9e242599,100,1,False,False,,zero_active_liquidity,,,,
IONQ,0xbc44b11f569d3feed9b4088f5a3fc569d2e3c77f,10000,200,False,False,,,,996041,996041,200;200
CIEN,0xbd7a539d199783b9e2a91de16de1050b52cc75ca,10000,200,False,False,,zero_active_liquidity,,,,
CLOV,0xbdfbc71db927fd566080ac21c6a2a89ae061f940,10000,200,False,False,,,,406370,870255,200;200
OUST,0xbeba59ed4a9b3a4b7033384228c75bd9e7dcad20,10000,200,False,False,,zero_active_liquidity,,,,
BA,0xbf3904cad0e63a4796cf806c21f2c1528b8ebe06,10000,200,False,False,,,,11638,11638,200;200
GE,0xc04635d723149390530b637f000c530738dd95ef,10000,200,False,False,,zero_active_liquidity,,,,
SNAP,0xc1bc4e31e763989616445a03627c17a5bc624778,10000,200,False,False,,zero_active_liquidity,,,,
NVDA,0xc277560df3689a401ba7dedd7626168b234ceb5e,10000,200,False,False,,zero_active_liquidity,,,,
PR,0xc2b5a8d6ecbbe9e4590271f7fe0261a3b265c3e7,10000,200,False,False,,zero_active_liquidity,,,,
DELL,0xc30c89cb7815a1488b7998d15eec73961707fc5a,10000,200,False,False,,,,10038,10038,200;200
AVGO,0xc3dabbed6574e1ef93c9e3e68e4e30ba77ca38be,10000,200,False,False,,zero_active_liquidity,,,,
BB,0xc424e56e816f148a8b30ccbde2128e04d21f51e9,10000,200,False,False,,,,10249,10249,200;200
TSLA,0xc4f0172d6ac8dd294dd1137d047d5e1893760236,500,10,True,True,True,,,659,659,80;160
TTWO,0xc53917de3655cfedc7f5b2a9b041909fa4c1b530,100,1,False,False,,zero_active_liquidity,,,,
SPCX,0xc61284332117c3fb23a2a56cceffd07f7af60029,500,10,True,True,True,,,500,500,80;160
BA,0xc6517047b189c72d3baa9ef37d1d28f27a63638a,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3038,3038,120;180
PFE,0xc7d573fcda6d2107c97fb582ae18411f9db32e7f,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3039,3039,120;180
ELF,0xc7d6ced1b7746784a20a1201fa9eb4c676f1b0e3,10000,200,False,False,,zero_active_liquidity,,,,
HIMS,0xc8c90d3a1c1a24967e773ac2ad0d456ba3e31f64,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3002,3002,120;180
CEG,0xc9529b7dc74bf15da6cee01a282908e8c7ab6ba3,10000,200,False,False,,,,10198,10198,200;200
AMC,0xc97894fc00c6eeb060838559d905b4c2253fd429,10000,200,False,False,,,,14821,14821,200;200
SNDK,0xc9f2e2229ef638a7629185c9b222ad2eeec39b74,3000,60,False,False,,zero_active_liquidity,,,,
FIG,0xca5904c0a9d42f0ec1bf760fdf779907877144fd,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3023,3023,120;180
FLNC,0xcacd42c86e2d79b48a5e02b1ca36e0806cc95955,10000,200,False,False,,zero_active_liquidity,,,,
INFQ,0xcb52c90cfc9f0e1024fec25bb64fdbfc91a1c163,10000,200,False,False,,zero_active_liquidity,,,,
TEM,0xcbf1f76e933534689f8ea13766279e839b1bafd8,10000,200,False,False,,zero_active_liquidity,,,,
TSM,0xccba175d31198e47968a7033179f512d7b38ead6,3000,60,False,False,,zero_active_liquidity,,,,
ASML,0xce79c1b7b5f9ae1aab3b1796e7fcd2f5f24cf265,3000,60,True,False,True,,,3745,3745,120;180
GEV,0xcf0396ae8b436e4534c3f1aacf186efc8ba2bca6,10000,200,False,False,,zero_active_liquidity,,,,
WDAY,0xcf64702d2538149a2e84ffa96b00ee745195791d,10000,200,False,False,,zero_active_liquidity,,,,
MU,0xd057b1bc54917855bbee58ead58647f47cab35e5,3000,60,True,False,True,,,3007,3007,120;180
LLY,0xd2038788ebe1e0bfd7c0a6112f09778f3aeaeca6,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3055,3055,120;180
ADBE,0xd25e11e45f42660668acc3db09dfe56f890f2e58,10000,200,False,False,,,,995258,997438,200;200
NVDA,0xd4eb21209c4d6093f80b5b84f5c45cc093ea14a3,500,10,True,True,True,,,500,500,80;160
QQQ,0xd60a5d14db690b7afad71f76b108071d7175597d,500,10,True,True,False,,paper_equity_reference_age_unacceptable,506,506,80;160
AMD,0xd6af1dcb75cdae4f2efc403a58ef023a51edc686,10000,200,False,False,,,,10459,10459,200;200
TTWO,0xd715802a12a73ceafe7579912a28d65d2ab5cc57,500,10,False,True,,,,9918,9918,80;160
ALAB,0xd8d7d0dc783ff547c5d7efb52368c386c160de43,10000,200,False,False,,zero_active_liquidity,,,,
UMC,0xd95a760934ddf6818176d51c12e89520dd7bac44,10000,200,False,False,,,,997221,994732,200;200
TTWO,0xd9ab4b7fae6dc2f7020134ec744a8f53ef3e5e24,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3020,3020,120;180
CRM,0xda68fba2d1bca00e3754937b5608ba61aee6e827,10000,200,False,False,,zero_active_liquidity,,,,
HWM,0xdaab22b473029a8f8f00cbe3a33de82dbbeb6ec9,10000,200,False,False,,,,996015,996067,200;200
COST,0xdb073638f94a384b8b7a647d73274decac9e7ca5,10000,200,False,False,,,,20892,88073,200;200
DOCN,0xdebba94d2143ea05dd92ae67161b53112f770842,10000,200,False,False,,zero_active_liquidity,,,,
CRWD,0xdee31838ed96e8b68d6a16d3db9fdf4fbd672929,10000,200,False,False,,zero_active_liquidity,,,,
ZS,0xdf9a23295d5d66e8066370cea9349def9ccafdae,10000,200,False,False,,zero_active_liquidity,,,,
HII,0xe0236f4dae922534ef8a33f15ea037fc31dac9cb,10000,200,False,False,,zero_active_liquidity,,,,
SNOW,0xe0ca1dfc1161500fb410c8181f7cc33860ffb16b,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3153,3153,120;180
HPE,0xe0e25884a3b690b1699732de475b2281600b0934,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,4623,4623,120;180
EWY,0xe180b7fd9acc014d9fbd0d46a9038edb30008482,3000,60,False,False,,zero_active_liquidity,,,,
SNAP,0xe187202cae5587c2b482747b1d11ec506d730eaf,100,1,False,False,,zero_active_liquidity,,,,
XLK,0xe20463635ceeea8e30a315ffc4d4e81c80e53147,10000,200,False,False,,,,997631,993965,200;200
GME,0xe2b46c905e12ab8e2f864e4821a4325884c1b126,500,10,True,True,True,,,505,505,80;160
CELH,0xe36dbdc0d6d5ab3182b6c18ba14b65bd676cce02,10000,200,False,False,,zero_active_liquidity,,,,
EWT,0xe46891c34a895e988ff94ca79d20dcf1cfb02f64,10000,200,False,False,,zero_active_liquidity,,,,
SOUN,0xe4e5e1f8bb52c51ec86bf2d6494747fb4e6337bc,3000,60,False,False,,,,84312,84312,120;180
LHX,0xe529ab9afdd8510954e59ff4d532510f685d1f5f,10000,200,False,False,,zero_active_liquidity,,,,
RUN,0xe6d0f53073041e12bc46759519499764a4b92d13,10000,200,False,False,,,,34825,617836,200;200
WYFI,0xe7071e2fe49f86fbbe701053f98a73eb4124a6bd,10000,200,False,False,,,,995374,996599,200;200
GME,0xe9713f453adb9245b19559790c96f470a18f2fdf,10000,200,False,False,,,,10008,10008,200;200
NFLX,0xea75ea625d83ae276b9ae8b0a3dc205916ee65cf,10000,200,False,False,,,,10496,10496,200;200
SOFI,0xea9368e1c88bce7f04d16919eb131778a0df826a,10000,200,False,False,,,,996343,996343,200;200
SPCX,0xeb07d9587efd1778dfb9c385ec43ef6d5f9fe401,3000,60,True,False,True,,,3011,3011,120;180
MSFT,0xeb60bcd1d920ad6e102690ccfc6fb488899e1510,3000,60,True,False,True,,,3006,3006,120;180
QQQ,0xebd78dcfc8a6b3a696f1e191ad1ff321f9579f79,3000,60,True,False,False,,paper_equity_reference_age_unacceptable,3117,3117,120;180
LUNR,0xed48ccb8d9bb86c7e039b153c53cb1a1d8be85e5,10000,200,False,False,,zero_active_liquidity,,,,
