symbol,pool,fee,spacing,capacityPass,replayCompatible,referenceEligible,reasons,referenceReasons,buyShortfallPpm,sellShortfallPpm,testedHalfWidths
ASML,0xedb22516b14eb2d1c86927db373b0e8bf70f5cd1,10000,200,False,False,,,,10108,10108,200;200
VICR,0xf20c51f78aba822f1f73df47e0c4e2560da92771,10000,200,False,False,,zero_active_liquidity,,,,
LLY,0xf212d02146a897f5f686e9d629f6a73da534324a,500,10,True,True,False,,oracle_feed_missing;paper_equity_oracle_missing,511,511,80;160
LLY,0xf4274130137eee20bad928b593d992716516ceb9,10000,200,False,False,,,,10005,10005,200;200
TSLA,0xf4acdaeeb7022862a763c9b1b885e11191c889e3,3000,60,True,False,True,,,3004,3004,120;180
CLSK,0xf58a091afd28f26e7e2a60803e6dfb5a8e451021,10000,200,False,False,,zero_active_liquidity,,,,
AEHR,0xf5954707e56f80d6e4ebd3609cf76bdb3769b7f5,10000,200,False,False,,zero_active_liquidity,,,,
FICO,0xf85f2f5716ca60a30b53193928d3f717343a378e,10000,200,False,False,,zero_active_liquidity,,,,
KTOS,0xf99db64402bbaceceb6da21f941fa75d3596418a,10000,200,False,False,,zero_active_liquidity,,,,
SMH,0xf9d5f058099707f60740c09bf67b32967971dc63,10000,200,False,False,,,,996274,996218,200;200
RIVN,0xf9e71558eef115b6c8fbfc9ad5fda00033e9d69c,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3153,3153,120;180
SATS,0xf9f25cd5b5ab162f7aad3cb2a1843916af49167f,10000,200,False,False,,zero_active_liquidity,,,,
SGOV,0xfab520051f96f4d2a32c22b6a3dd7fffdf231bfe,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3000,3000,120;180
SPCX,0xfbb32c09488e3fc33fe6fd84fe6ae442b4d13a31,10000,200,False,False,,,,10198,10198,200;200
ON,0xfce637eead7d62d9ed27f81d9767de03e9e534cf,10000,200,False,False,,,,10252,10252,200;200
NET,0xfdb45d6c7c27144c1ba128f38745b0bfc3a8f18f,100,1,False,False,,zero_active_liquidity,,,,
NAVN,0xfee5d6e12d1cee7eaf47904b5f4158460341b499,10000,200,False,False,,zero_active_liquidity,,,,
INDA,0xff2c1a42d9f3ac3d338d8ce4e44607cb8c333f45,10000,200,False,False,,zero_active_liquidity,,,,
QCOM,0xff3ab07dd9c241a72d42b3841814bf800494607a,10000,200,False,False,,zero_active_liquidity,,,,
SGOV,0xffb376bfc48668f16719b42ed8aeef5b98dbc4f1,100,1,False,False,,zero_active_liquidity,,,,
