key,n,available,meanDelta,medianDelta,worstDelta,bestDelta,wins,recenterFills,trimFills,rejections,meanGas,meanFees,maxExposurePpm
500000/120/source_block_54/500000/0/guard60,17,17,0,0,0,0,0,0,0,0,1.124903,0.19316123529411766,793732
500000/120/source_block_54/500000/0/exit_early,17,17,-0.031389529411764705,0.301912,-1.172282,0.749106,11,0,0,0,1.124903,0.0063621176470588245,618823
500000/120/source_block_54/500000/0/recenter60,17,17,-0.3357734117647059,0,-2.281765,0,0,3,0,13,1.4835053529411764,0.2018189411764706,793732
500000/120/source_block_54/500000/0/trim25,17,17,-0.510018294117647,-0.633631,-1.276695,0.664033,2,0,12,4,1.8153201764705875,0.2771934117647059,793732
500000/120/source_block_54/500000/0/hold80,17,17,0.18857600000000002,0,-1.767551,2.037754,8,0,0,0,1.124903,0.3557048235294117,797479
500000/120/source_block_54/500000/600/recenter60,17,17,-0.29834235294117645,0,-2.033154,0,0,3,0,9,1.4835053529411764,0.2105584117647059,793732
550000/30/frozen_session6/1000000/0/guard60,12,12,0,0,0,0,0,0,0,0,0.333297,0.16863416666666667,793159
550000/30/frozen_session6/1000000/0/exit_early,12,12,0.09278816666666667,0.1378255,-0.8947,0.802643,7,0,0,0,0.333297,0.026759333333333333,662575
550000/30/frozen_session6/1000000/0/recenter60,12,12,-0.19639341666666665,0,-0.869857,0,0,3,0,8,0.49256675,0.25380800000000003,796941
550000/30/frozen_session6/1000000/0/trim25,12,12,-0.049373499999999994,-0.090919,-0.663565,1.728567,1,0,7,4,0.4965475,0.26908750000000003,793159
550000/30/frozen_session6/1000000/0/hold80,12,12,0.012633999999999998,0,-1.397097,2.528129,3,0,0,0,0.333297,0.35468125,799706
550000/30/frozen_session6/1000000/600/recenter60,12,12,-0.12488525,0,-0.869857,0,0,2,0,5,0.43947683333333337,0.177233,775187
550000/30/frozen_session6/500000/0/guard60,12,12,0,0,0,0,0,0,0,0,0.333297,0.08431408333333335,793159
550000/30/frozen_session6/500000/0/exit_early,12,12,0.16369466666666665,0.16517949999999998,-0.634159,0.873718,7,0,0,0,0.333297,0.013379166666666666,662569
550000/30/frozen_session6/500000/0/recenter60,12,12,-0.23893299999999998,0,-1.316197,0,0,3,0,8,0.49256675,0.12689950000000003,797051
550000/30/frozen_session6/500000/0/trim25,12,12,-0.09957575000000002,-0.0903575,-0.947539,1.375488,1,0,7,4,0.4965475,0.13453933333333332,793159
550000/30/frozen_session6/500000/0/hold80,12,12,-0.08034216666666665,0,-1.413198,2.048601,3,0,0,0,0.333297,0.17733583333333336,799709
550000/30/frozen_session6/500000/600/recenter60,12,12,-0.12917791666666667,0,-0.921265,0,0,2,0,5,0.43947683333333337,0.08861325000000002,775178
550000/30/source_block_54/1000000/0/guard60,12,12,0,0,0,0,0,0,0,0,1.124903,0.16863416666666667,793818
550000/30/source_block_54/1000000/0/exit_early,12,12,0.09278816666666667,0.1378255,-0.8947,0.802643,7,0,0,0,1.124903,0.026759333333333333,663114
550000/30/source_block_54/1000000/0/recenter60,12,12,-0.5451436666666666,0,-2.264858,0,0,3,0,8,1.632923,0.25380800000000003,798779
550000/30/source_block_54/1000000/0/trim25,12,12,-0.45667608333333337,-0.4400355,-1.361798,1.030334,1,0,7,4,1.695456083333333,0.26908750000000003,793818
550000/30/source_block_54/1000000/0/hold80,12,12,-0.0023894166666666994,0,-1.397097,2.528129,3,0,0,0,1.124903,0.35468125,800373
550000/30/source_block_54/1000000/600/recenter60,12,12,-0.3573854166666666,0,-2.264858,0,0,2,0,5,1.4635829999999999,0.177233,775829
