horizonMinutes,regime,start,end,day,startCheckpoint,endCheckpoint,minutes,maxCheckpointGapSeconds,startTick,endTick,minTick,maxTick,absoluteReturnPct,returnPct,endpointTicks,peakExcursionTicks,downPriceTicks,upPriceTicks,swaps,volumeUsdg,cross10,cross20,cross30,cross40,cross50
30,weekend,2026-09-05T23:45:12.000Z,2026-09-06T00:16:37.000Z,2026-09-05,124,129,31.416666666666668,629.0,221883,221885,221883,221885,0.013835771900538862,-0.013835771900538862,2,2,2,0,572,79176.18593400001,False,False,False,False,False
30,weekend,2026-09-06T00:16:37.000Z,2026-09-06T00:47:36.000Z,2026-09-05,129,135,30.983333333333334,320.0,221885,221887,221885,221889,0.022099181638635113,-0.022099181638635113,2,4,4,0,1085,239583.848969,False,False,False,False,False
30,weekend,2026-09-06T00:47:36.000Z,2026-09-06T01:18:07.000Z,2026-09-05,135,141,30.516666666666666,310.0,221887,221886,221886,221887,0.012014855434672178,0.012014855434672178,1,1,0,1,884,132522.639349,False,False,False,False,False
30,weekend,2026-09-06T01:18:07.000Z,2026-09-06T01:48:50.000Z,2026-09-05,141,147,30.716666666666665,311.0,221886,221885,221884,221886,0.013457443381104106,0.013457443381104106,1,2,0,2,1261,157603.335896,False,False,False,False,False
30,weekend,2026-09-06T01:48:50.000Z,2026-09-06T02:19:38.000Z,2026-09-05,147,153,30.8,311.0,221885,221883,221882,221885,0.010733563695497494,0.010733563695497494,2,3,0,3,5985,741866.881964,False,False,False,False,False
30,weekend,2026-09-06T02:19:38.000Z,2026-09-06T02:50:29.000Z,2026-09-05,153,159,30.85,313.0,221883,221883,221882,221884,0.0057804770714042775,0.0057804770714042775,0,1,1,1,791,98813.090102,False,False,False,False,False
30,weekend,2026-09-06T02:50:29.000Z,2026-09-06T03:21:52.000Z,2026-09-05,159,165,31.383333333333333,320.0,221883,221884,221883,221885,0.015788892290691248,-0.015788892290691248,1,2,2,0,337,108711.18380599999,False,False,False,False,False
30,weekend,2026-09-06T03:21:52.000Z,2026-09-06T03:53:22.000Z,2026-09-05,165,170,31.5,630.0,221884,221885,221882,221886,0.00916558400368972,-0.00916558400368972,1,2,2,2,1221,307059.735363,False,False,False,False,False
30,weekend,2026-09-06T03:53:22.000Z,2026-09-06T04:24:42.000Z,2026-09-05,170,176,31.333333333333332,320.0,221885,221883,221883,221885,0.023167151608327607,0.023167151608327607,2,2,0,2,1204,157418.056481,False,False,False,False,False
30,weekend,2026-09-06T04:24:42.000Z,2026-09-06T04:56:02.000Z,2026-09-06,176,182,31.333333333333332,320.0,221883,221883,221879,221883,0.0032447413719216556,0.0032447413719216556,0,4,0,4,4714,517460.6728030001,False,False,False,False,False
30,weekend,2026-09-06T04:56:02.000Z,2026-09-06T05:27:32.000Z,2026-09-06,182,188,31.5,320.0,221883,221884,221883,221884,0.015200538486714876,-0.015200538486714876,1,1,1,0,635,91749.07006900001,False,False,False,False,False
30,weekend,2026-09-06T05:27:32.000Z,2026-09-06T05:58:37.000Z,2026-09-06,188,194,31.083333333333332,317.0,221884,221879,221878,221884,0.05505781779548968,0.05505781779548968,5,6,0,6,1117,201832.679672,False,False,False,False,False
30,weekend,2026-09-06T05:58:37.000Z,2026-09-06T06:29:52.000Z,2026-09-06,194,200,31.25,319.0,221879,221880,221879,221880,0.009194118182165312,-0.009194118182165312,1,1,1,0,691,71931.37837199999,False,False,False,False,False
30,weekend,2026-09-06T06:34:53.000Z,2026-09-06T07:06:02.000Z,2026-09-06,201,206,31.15,630.0,221880,221882,221880,221882,0.022758654378562948,-0.022758654378562948,2,2,2,0,605,94134.61508599999,False,False,False,False,False
30,weekend,2026-09-06T07:06:02.000Z,2026-09-06T07:37:22.000Z,2026-09-06,206,211,31.333333333333332,630.0,221882,221876,221871,221882,0.06346683244680129,0.06346683244680129,6,11,0,11,848,484699.689221,True,False,False,False,False
30,weekend,2026-09-06T07:37:22.000Z,2026-09-06T08:08:37.000Z,2026-09-06,211,217,31.25,320.0,221876,221872,221872,221877,0.036130192683669904,0.036130192683669904,4,4,1,4,496,180509.520793,False,False,False,False,False
30,weekend,2026-09-06T08:08:37.000Z,2026-09-06T08:39:52.000Z,2026-09-06,217,223,31.25,317.0,221872,221873,221868,221873,0.005314223120056472,-0.005314223120056472,1,4,1,4,3949,488057.383649,False,False,False,False,False
30,weekend,2026-09-06T08:39:52.000Z,2026-09-06T09:10:52.000Z,2026-09-06,223,229,31.0,316.0,221873,221872,221872,221873,0.009429307413744148,0.009429307413744148,1,1,0,1,841,120551.11426100001,False,False,False,False,False
30,weekend,2026-09-06T09:10:52.000Z,2026-09-06T09:41:35.000Z,2026-09-06,229,234,30.716666666666665,617.0,221872,221872,221870,221872,0.0005070512859139953,0.0005070512859139953,0,2,0,2,747,160063.697563,False,False,False,False,False
30,weekend,2026-09-06T09:41:35.000Z,2026-09-06T10:12:11.000Z,2026-09-06,234,240,30.6,310.0,221872,221870,221870,221874,0.012667400497812231,0.012667400497812231,2,2,2,2,404,235410.735386,False,False,False,False,False
30,weekend,2026-09-06T10:12:11.000Z,2026-09-06T10:42:59.000Z,2026-09-06,240,246,30.8,311.0,221870,221871,221870,221872,0.008858700949221365,-0.008858700949221365,1,2,2,0,503,109755.844325,False,False,False,False,False
30,weekend,2026-09-06T10:42:59.000Z,2026-09-06T11:14:05.000Z,2026-09-06,246,252,31.1,315.0,221871,221868,221868,221874,0.03221913224702444,0.03221913224702444,3,3,3,3,613,269254.929116,False,False,False,False,False
30,weekend,2026-09-06T11:14:05.000Z,2026-09-06T11:44:45.000Z,2026-09-06,252,258,30.666666666666668,312.0,221868,221867,221867,221868,0.007682640342743241,0.007682640342743241,1,1,0,1,545,72585.15211299999,False,False,False,False,False
30,weekend,2026-09-06T11:44:45.000Z,2026-09-06T12:15:32.000Z,2026-09-06,258,264,30.783333333333335,315.0,221867,221867,221866,221867,0.0021549422804190144,0.0021549422804190144,0,1,0,1,1270,143975.98631599997,False,False,False,False,False
30,weekend,2026-09-06T12:15:32.000Z,2026-09-06T12:46:42.000Z,2026-09-06,264,270,31.166666666666668,315.0,221867,221867,221865,221867,0.0028394914621698852,-0.0028394914621698852,0,2,0,2,4501,509187.66615,False,False,False,False,False
