symbol,budgetQuote,name,scenario,actions,availabilityBlockAnchored,terminalQuotesIndependentlyRecomputed,markedNavVerified,feeTokenTotalsVerified,gasVerified,weeklyAndRegimeNavVerified,invalidAt,capacityTimeMetricsIncludePostInvalidMarks,inRangeMs,above10PercentExistingMs,above100PercentExistingMs,feesQuote,modeledFeesAbove10PercentExistingQuote,modeledFeesAbove100PercentExistingQuote
AAPL,250000000,fixed_80,pinned_fork_costs,76,True,True,True,True,True,True,,False,3231465000,23000,0,160309606,80859,0
AAPL,250000000,fixed_160,pinned_fork_costs,22,True,True,True,True,True,True,,False,3237849000,0,0,77217132,0,0
AAPL,250000000,adaptive_width,pinned_fork_costs,310,True,True,True,True,True,True,,False,3218703000,82307000,0,321072862,17440799,0
AAPL,250000000,adaptive_economic,pinned_fork_costs,10,True,True,True,True,True,True,,False,1558193000,0,0,60997612,0,0
AAPL,250000000,fixed_20,double_gas_half_fees,547,True,True,True,True,True,True,1788183175000,True,2223072000,1588891000,0,116654271,59764519,0
AAPL,250000000,fixed_40,double_gas_half_fees,244,True,True,True,True,True,True,,False,3213258000,1061083000,0,138796420,27726781,0
AAPL,250000000,fixed_80,double_gas_half_fees,76,True,True,True,True,True,True,,False,3231465000,0,0,70421641,4609,0
AAPL,250000000,fixed_160,double_gas_half_fees,22,True,True,True,True,True,True,,False,3237849000,0,0,36268450,0,0
AAPL,250000000,adaptive_width,double_gas_half_fees,81,True,True,True,True,True,True,,False,3233044000,65122000,0,54223194,1277027,0
AAPL,250000000,adaptive_economic,double_gas_half_fees,1,True,True,True,True,True,True,,False,1462416000,0,0,14112682,0,0
AAPL,250000000,fixed_20,partial_mint_failure,724,True,True,True,True,True,True,,False,2808718000,1681315000,0,500601138,207100344,0
AAPL,250000000,fixed_40,partial_mint_failure,253,True,True,True,True,True,True,,False,3117771000,1030888000,0,308813938,55773737,0
AAPL,250000000,fixed_80,partial_mint_failure,92,True,True,True,True,True,True,,False,3206773000,42000,0,153877392,80633,0
AAPL,250000000,fixed_160,partial_mint_failure,25,True,True,True,True,True,True,,False,3233046000,0,0,76423889,0,0
AAPL,250000000,adaptive_width,partial_mint_failure,263,True,True,True,True,True,True,,False,3156729000,14796000,0,229006650,3591528,0
AAPL,250000000,adaptive_economic,partial_mint_failure,7,True,True,True,True,True,True,,False,1565252000,0,0,60001771,0,0
GLD,5000000000,fixed_20,pinned_fork_costs,1033,True,True,True,True,True,True,,False,967879000,87042000,19808000,819237864,627506313,498149055
GLD,5000000000,fixed_40,pinned_fork_costs,460,True,True,True,True,True,True,,False,1030033000,94196000,31096000,906493696,732106625,606001085
GLD,5000000000,fixed_80,pinned_fork_costs,33,True,True,True,True,True,True,,False,977923000,199805000,19990000,2133732210,1406337559,421324043
GLD,5000000000,fixed_160,pinned_fork_costs,13,True,True,True,True,True,True,,False,983294000,107006000,6648000,1161890093,625906770,51342134
GLD,5000000000,adaptive_width,pinned_fork_costs,186,True,True,True,True,True,True,,False,920213000,231054000,13725000,1785037122,1376476312,221194937
GLD,5000000000,adaptive_economic,pinned_fork_costs,67,True,True,True,True,True,True,,False,78696000,66238000,6805000,774561549,734325619,126181725
GLD,5000000000,fixed_20,double_gas_half_fees,372,True,True,True,True,True,True,1788208135000,True,198560000,67615000,19808000,298376855,297877297,247924816
GLD,5000000000,fixed_40,double_gas_half_fees,460,True,True,True,True,True,True,,False,1030033000,87103000,31096000,423916650,356663351,300510711
GLD,5000000000,fixed_80,double_gas_half_fees,37,True,True,True,True,True,True,,False,979838000,166541000,21981000,1004296863,630285705,217697111
GLD,5000000000,fixed_160,double_gas_half_fees,13,True,True,True,True,True,True,,False,983294000,98243000,6529000,555713790,296476565,25026370
GLD,5000000000,adaptive_width,double_gas_half_fees,35,True,True,True,True,True,True,,False,937087000,87808000,6595000,533011356,228985758,27316267
GLD,5000000000,adaptive_economic,double_gas_half_fees,13,True,True,True,True,True,True,,False,484217000,43578000,2602000,329269577,193852350,11940900
GLD,5000000000,fixed_20,partial_mint_failure,610,True,True,True,True,True,True,,False,780725000,31930000,14559000,492182747,306327082,254966203
GLD,5000000000,fixed_40,partial_mint_failure,311,True,True,True,True,True,True,,False,930067000,62338000,20457000,729558976,536059880,430024911
GLD,5000000000,fixed_80,partial_mint_failure,40,True,True,True,True,True,True,,False,971372000,192286000,21919000,1990951703,1260371585,367261926
GLD,5000000000,fixed_160,partial_mint_failure,15,True,True,True,True,True,True,,False,981362000,106507000,6648000,1159039918,624126441,51342134
GLD,5000000000,adaptive_width,partial_mint_failure,115,True,True,True,True,True,True,,False,886517000,191677000,9262000,1330513203,933569986,136014921
GLD,5000000000,adaptive_economic,partial_mint_failure,34,True,True,True,True,True,True,,False,60353000,45821000,4725000,450349105,410784481,83469929
GLD,1000000000,fixed_20,pinned_fork_costs,249,True,True,True,True,True,True,1788137668000,True,37829000,37829000,25706000,401666844,401666844,254386694
GLD,1000000000,fixed_40,pinned_fork_costs,265,True,True,True,True,True,True,1788171347000,True,355346000,70281000,28230000,435299580,411747807,101110698
GLD,1000000000,fixed_80,pinned_fork_costs,58,True,True,True,True,True,True,,False,1051367000,153368000,27409000,826869378,502066051,50567639
GLD,1000000000,fixed_160,pinned_fork_costs,15,True,True,True,True,True,True,,False,1025752000,69322000,0,387200575,170876536,0
GLD,1000000000,adaptive_width,pinned_fork_costs,351,True,True,True,True,True,True,,False,975417000,106160000,12073000,1019644902,671050345,238989800
GLD,1000000000,adaptive_economic,pinned_fork_costs,136,True,True,True,True,True,True,,False,141019000,59225000,12028000,657722963,525726591,229359932
GLD,1000000000,fixed_20,double_gas_half_fees,246,True,True,True,True,True,True,1788134824000,True,38254000,38254000,26842000,193621895,193621895,123106309
GLD,1000000000,fixed_40,double_gas_half_fees,183,True,True,True,True,True,True,1788134919000,True,52526000,48488000,29269000,205397493,195183358,42719062
GLD,1000000000,fixed_80,double_gas_half_fees,69,True,True,True,True,True,True,,False,1049181000,152056000,3193000,358792197,229188613,6992430
GLD,1000000000,fixed_160,double_gas_half_fees,17,True,True,True,True,True,True,,False,1026093000,66977000,0,190785827,91989680,0
GLD,1000000000,adaptive_width,double_gas_half_fees,225,True,True,True,True,True,True,,False,1001328000,73726000,12701000,338060183,221399354,112395419
GLD,1000000000,adaptive_economic,double_gas_half_fees,80,True,True,True,True,True,True,,False,141066000,33629000,8259000,138045537,73865763,21700651
GLD,1000000000,fixed_20,partial_mint_failure,518,True,True,True,True,True,True,1788876750000,True,614170000,21972000,11249000,155772455,111575757,63809218
GLD,1000000000,fixed_40,partial_mint_failure,335,True,True,True,True,True,True,,False,937144000,50693000,19706000,338133495,257124783,43352352
GLD,1000000000,fixed_80,partial_mint_failure,73,True,True,True,True,True,True,,False,1028816000,138820000,23074000,650430092,364647322,35321278
GLD,1000000000,fixed_160,partial_mint_failure,17,True,True,True,True,True,True,,False,1022980000,66012000,0,386994301,169542791,0
GLD,1000000000,adaptive_width,partial_mint_failure,211,True,True,True,True,True,True,,False,904129000,45483000,1694000,488906322,199906459,51539363
GLD,1000000000,adaptive_economic,partial_mint_failure,86,True,True,True,True,True,True,,False,134872000,33427000,5508000,296989876,216851672,108096710
GLD,250000000,fixed_20,pinned_fork_costs,258,True,True,True,True,True,True,1788110736000,True,38216000,34819000,11866000,192801759,185492485,23975803
GLD,250000000,fixed_40,pinned_fork_costs,227,True,True,True,True,True,True,1788103635000,True,54441000,42663000,20320000,167939161,136781903,12089005
GLD,250000000,fixed_80,pinned_fork_costs,86,True,True,True,True,True,True,,False,1057252000,82332000,313000,231932956,75648509,290403
GLD,250000000,fixed_160,pinned_fork_costs,35,True,True,True,True,True,True,,False,1061415000,36518000,202000,111659305,24681857,786770
GLD,250000000,adaptive_width,pinned_fork_costs,385,True,True,True,True,True,True,,False,1008072000,30961000,5346000,369278564,183060338,20101803
GLD,250000000,adaptive_economic,pinned_fork_costs,274,True,True,True,True,True,True,,False,138670000,58879000,1876000,338912656,241153825,17746147
GLD,250000000,fixed_20,double_gas_half_fees,208,True,True,True,True,True,True,1788051775000,True,35134000,31737000,8306000,86981742,83922177,4068778
GLD,250000000,fixed_40,double_gas_half_fees,162,True,True,True,True,True,True,1788053726000,True,45968000,34119000,11288000,75669829,61209654,4460134
GLD,250000000,fixed_80,double_gas_half_fees,86,True,True,True,True,True,True,,False,1057252000,75013000,313000,96675841,30109656,138864
