symbol,phase,scenario,name,netPnlQuote,alphaQuote,feesQuote,totalGasWithExitQuote,entries,recenters,partialFailures,outsideMs,holdingMs,drawdownPpm,averageDeploymentPpm,maximumRiskyExposurePpm,partialFeeSegments,feeApportionmentGapQuote,sourceGapMs,invalid
GOOGL,development,pinned_fork_costs,fixed_80,31618069,54938909,68270143,516771,1,1,0,77000,165554000,7615,994708,993406,0,0,0,
GOOGL,development,pinned_fork_costs,fixed_160,5197614,28518454,34963641,295461,1,0,0,0,165554000,6671,996914,782028,0,0,0,
GOOGL,development,pinned_fork_costs,adaptive_width,143055204,166376044,236104472,3393801,1,14,0,663000,165554000,8973,997005,1000500,32,3,0,
GOOGL,development,pinned_fork_costs,adaptive_economic,68819647,92140487,110728333,1180701,1,4,0,45422000,165554000,4265,994377,1000142,0,0,0,
GOOGL,development,double_gas_half_fees,fixed_20,21645805,45069092,117067808,6787602,1,14,0,663000,165554000,10205,998730,1001169,32,2,0,
GOOGL,development,double_gas_half_fees,fixed_40,-6017164,17406123,64211928,3246642,1,6,0,360000,165554000,8896,998744,1000424,32,1,0,
GOOGL,development,double_gas_half_fees,fixed_80,-3023193,20400094,34132236,1033542,1,1,0,77000,165554000,7931,997295,996734,0,0,0,
GOOGL,development,double_gas_half_fees,fixed_160,-12570637,10852650,17481820,590922,1,0,0,0,165554000,6793,998404,783011,0,0,0,
GOOGL,development,double_gas_half_fees,adaptive_width,21645805,45069092,117067808,6787602,1,14,0,663000,165554000,10205,998730,1001169,32,2,0,
GOOGL,development,double_gas_half_fees,adaptive_economic,12226198,35649485,55219519,2361402,1,4,0,45422000,165554000,4646,997239,1000324,0,0,0,
GOOGL,development,partial_mint_failure,fixed_20,147579578,170900418,233781560,3305927,3,10,2,578000,163839000,8297,986620,1000541,32,3,0,
GOOGL,development,partial_mint_failure,fixed_40,59688789,83009629,128856383,1800694,2,5,1,360000,164902000,8482,993424,1000134,32,2,0,
GOOGL,development,partial_mint_failure,fixed_80,31618069,54938909,68270143,516771,1,1,0,77000,165554000,7615,994708,993406,0,0,0,
GOOGL,development,partial_mint_failure,fixed_160,5197614,28518454,34963641,295461,1,0,0,0,165554000,6671,996914,782028,0,0,0,
GOOGL,development,partial_mint_failure,adaptive_width,147579578,170900418,233781560,3305927,3,10,2,578000,163839000,8297,986620,1000541,32,3,0,
GOOGL,development,partial_mint_failure,adaptive_economic,68819647,92140487,110728333,1180701,1,4,0,45422000,165554000,4265,994377,1000142,0,0,0,
GOOGL,validation,pinned_fork_costs,fixed_20,23302393,10980662,87200435,3836421,1,16,0,1129000,85782000,6477,992995,1000364,2,1,0,
GOOGL,validation,pinned_fork_costs,fixed_40,9034114,-3287617,49592759,1844631,1,7,0,362000,85876000,6821,993779,999966,2,1,0,
GOOGL,validation,pinned_fork_costs,fixed_80,8244135,-4077596,26138383,738081,1,2,0,161000,86315000,7113,997841,999641,2,1,0,
GOOGL,validation,pinned_fork_costs,fixed_160,23421322,11099591,13527600,295461,1,0,0,0,86315000,6399,998104,808734,0,0,0,
GOOGL,validation,pinned_fork_costs,adaptive_width,24166365,11844634,13508294,295461,1,0,0,0,85876000,6399,993024,808733,0,0,0,
GOOGL,validation,pinned_fork_costs,adaptive_economic,24166365,11844634,13508294,295461,1,0,0,0,85876000,6399,993024,808733,0,0,0,
GOOGL,validation,double_gas_half_fees,fixed_20,-24038669,-36257953,43455496,7672842,1,16,0,1129000,85782000,8776,993953,1000995,2,1,0,
GOOGL,validation,double_gas_half_fees,fixed_40,-17572419,-29791703,24751625,3689262,1,7,0,362000,85876000,7790,994508,1000371,2,1,0,
GOOGL,validation,double_gas_half_fees,fixed_80,-5554938,-17774222,13061827,1476162,1,2,0,161000,86315000,7586,998878,999874,2,1,0,
GOOGL,validation,double_gas_half_fees,fixed_160,16364330,4145046,6763799,590922,1,0,0,0,86315000,6622,998913,808818,0,0,0,
GOOGL,validation,double_gas_half_fees,adaptive_width,17119020,4899736,6754147,590922,1,0,0,0,85876000,6622,993830,808817,0,0,0,
GOOGL,validation,double_gas_half_fees,adaptive_economic,17119020,4899736,6754147,590922,1,0,0,0,85876000,6622,993830,808817,0,0,0,
GOOGL,validation,partial_mint_failure,fixed_20,23643048,11321317,80637988,3527237,3,11,2,949000,84101000,6477,973451,1000510,0,0,0,
GOOGL,validation,partial_mint_failure,fixed_40,7465934,-4855797,49134977,2022004,2,6,1,406000,85190000,6821,985887,999886,2,1,0,
GOOGL,validation,partial_mint_failure,fixed_80,8244135,-4077596,26138383,738081,1,2,0,161000,86315000,7113,997841,999641,2,1,0,
GOOGL,validation,partial_mint_failure,fixed_160,23421322,11099591,13527600,295461,1,0,0,0,86315000,6399,998104,808734,0,0,0,
GOOGL,validation,partial_mint_failure,adaptive_width,24166365,11844634,13508294,295461,1,0,0,0,85876000,6399,993024,808733,0,0,0,
GOOGL,validation,partial_mint_failure,adaptive_economic,24166365,11844634,13508294,295461,1,0,0,0,85876000,6399,993024,808733,0,0,0,
AAPL,retrospective_test,pinned_fork_costs,fixed_20,327159542,208147171,906601495,29114451,1,128,0,6672000,213607000,12153,999133,1005119,83,11,0,
AAPL,retrospective_test,pinned_fork_costs,fixed_40,303418016,184405645,588210163,10878111,1,47,0,2357000,214165000,11794,998341,1001297,20,2,0,
AAPL,retrospective_test,pinned_fork_costs,fixed_80,278730570,159718199,329422648,2998211,1,12,0,650000,214165000,11835,996603,998133,8,1,0,
AAPL,retrospective_test,pinned_fork_costs,fixed_160,167381297,48368926,171175177,1422231,1,5,0,202000,214165000,12147,997212,998867,5,1,0,
AAPL,retrospective_test,pinned_fork_costs,adaptive_width,343052507,224040136,651476984,15155771,1,66,0,3259000,213607000,11510,997048,1002073,35,5,0,
AAPL,retrospective_test,pinned_fork_costs,adaptive_economic,134114280,15101909,284876983,4123911,1,17,0,133889000,213607000,11510,988811,1000504,24,3,0,
AAPL,retrospective_test,double_gas_half_fees,fixed_20,-139138958,-258047733,438917923,58228902,1,128,0,6672000,213607000,36007,1002950,1011695,83,6,0,
AAPL,retrospective_test,double_gas_half_fees,fixed_40,3478263,-115430512,287415063,21756222,1,47,0,2357000,214165000,14150,1000793,1003780,20,1,0,
AAPL,retrospective_test,double_gas_half_fees,fixed_80,111769606,-7139169,162613874,5996422,1,12,0,650000,214165000,12939,998617,999589,8,1,0,
AAPL,retrospective_test,double_gas_half_fees,fixed_160,80680207,-38228568,85055437,2844462,1,5,0,202000,214165000,12700,998739,999487,5,1,0,
AAPL,retrospective_test,double_gas_half_fees,adaptive_width,-6074573,-124983348,227864745,20405382,1,44,0,2201000,214165000,15694,1001891,1003304,31,2,0,
AAPL,retrospective_test,double_gas_half_fees,adaptive_economic,-12505050,-131413825,51095639,1043342,1,1,0,176485000,214165000,12700,993766,999487,0,0,0,
AAPL,retrospective_test,partial_mint_failure,fixed_20,265518930,146506559,582331388,21845503,17,67,16,4493000,192779000,12336,900798,1003770,48,7,0,
AAPL,retrospective_test,partial_mint_failure,fixed_40,277991595,158979224,467461806,9428710,8,28,7,1799000,202461000,12004,944029,1001207,14,2,0,
